S,P,O,T_c,U_c,T_d,U_d
wd:Q30,wdt:P36,wd:Q61,2013-02-04T21:41:39Z,JoonaZZ,2013-02-16T11:21:45Z,Aude
wd:Q30,wdt:P36,wd:Q482386,2013-02-16T11:21:45Z,Aude,2013-02-16T11:23:07Z,Aude
wd:Q30,wdt:P36,wd:Q1967325,2013-02-16T11:23:07Z,Aude,2013-02-16T11:24:10Z,Aude
wd:Q30,wdt:P36,wd:Q2431532,2013-02-16T11:24:10Z,Aude,2013-02-16T11:25:10Z,Aude
wd:Q30,wdt:P36,wd:Q79281,2013-02-16T11:25:10Z,Aude,2013-02-16T11:26:09Z,Aude
wd:Q30,wdt:P36,wd:Q467194,2013-02-16T11:26:09Z,Aude,2013-02-16T11:27:27Z,Aude
wd:Q30,wdt:P36,wd:Q3178632,2013-02-16T11:27:27Z,Aude,2013-02-16T11:28:24Z,Aude
wd:Q30,wdt:P36,wd:Q3470551,2013-02-16T11:28:24Z,Aude,2013-02-16T11:29:20Z,Aude
wd:Q30,wdt:P36,wd:Q3448011,2013-02-16T11:29:20Z,Aude,2013-02-16T11:30:03Z,Aude
wd:Q30,wdt:P36,wd:Q61,2013-02-16T11:30:03Z,Aude,2015-05-05T10:20:28Z,85.192.92.37
wd:Q30,wdt:P36,wd:Q60,2015-05-05T10:20:28Z,85.192.92.37,2015-05-05T10:23:16Z,85.192.92.37
wd:Q30,wdt:P36,wd:Q60,2015-05-05T10:30:05Z,Yair rand,2015-06-15T07:40:34Z,PreferentialBot
wd:Q30,wdt:P36,wd:Q61,2015-05-05T10:25:18Z,Yair rand,2016-03-27T13:40:37Z,195.252.66.235
wd:Q30,wdt:P36,wd:Q60,2016-03-27T13:40:37Z,195.252.66.235,2016-03-27T13:40:49Z,195.252.66.235
wd:Q30,wdt:P36,wd:Q1345,2016-03-27T13:40:37Z,195.252.66.235,2016-03-27T13:41:02Z,195.252.66.235
wd:Q30,wdt:P36,wd:Q61,2016-03-27T15:33:08Z,Runner1928,,
